item	total	count part-1	specif part-1	count part-2	specif part-2
me	14	12	3.36	2	-3.36
hcc	14	14	5.70	0	-5.70
16	14	4	-0.79	10	0.79
wikimedia	14	8	1.07	6	-1.07
A	14	12	3.36	2	-3.36
変化	14	9	1.44	5	-1.44
実際	14	4	-0.79	10	0.79
評価	14	1	-2.07	13	2.07
01	14	13	4.36	1	-4.36
―	14	6	0.69	8	-0.69
自信	14	2	-1.45	12	1.45
bottun	14	14	5.70	0	-5.70
gif	14	14	5.70	0	-5.70
理解	14	1	-2.07	13	2.07
収載	14	14	5.70	0	-5.70
エリア	14	0	-3.02	14	3.02
株式	14	0	-3.02	14	3.02
media	14	0	-3.02	14	3.02
rakuten	14	0	-3.02	14	3.02
sec	14	0	-3.02	14	3.02
対象	13	6	0.72	7	-0.72
みんな	13	10	2.26	3	-2.26
会	13	13	5.29	0	-5.29
話	13	2	-1.30	11	1.30
最近	13	7	0.91	6	-0.91
光	13	13	5.29	0	-5.29
だから	13	4	-0.72	9	0.72
言え	13	1	-1.88	12	1.88
最初	13	5	0.65	8	0.65
リンク	13	8	1.23	5	-1.23
〜	13	7	0.91	6	-0.91
なぜ	13	4	-0.72	9	0.72
］	13	11	3.02	2	-3.02
まち	13	13	5.29	0	-5.29
年度	13	13	5.29	0	-5.29
○	13	11	3.02	2	-3.02
動画	13	13	5.29	0	-5.29
に関する	13	11	3.02	2	-3.02
山口	13	13	5.29	0	-5.29
40	13	5	0.65	8	0.65
変わっ	13	2	-1.30	11	1.30
による	13	4	-0.72	9	0.72
金	13	10	2.26	3	-2.26
健康	13	4	-0.72	9	0.72
やり	13	11	3.02	2	-3.02
すべて	13	2	-1.30	11	1.30
スタッフ	13	10	2.26	3	-2.26
す	13	7	0.91	6	-0.91
Wikipedia	13	9	1.67	4	-1.67
または	13	2	-1.30	11	1.30
現実	13	4	-0.72	9	0.72
B	13	11	3.02	2	-3.02
倍率	13	13	5.29	0	-5.29
調査	13	12	3.99	1	-3.99
駅	13	11	3.02	2	-3.02
のに	13	3	-0.92	10	0.92
─	13	2	-1.30	11	1.30
といった	13	1	-1.88	12	1.88
保険	13	7	0.91	6	-0.91
抽選	12	12	4.89	0	-4.89
いただき	12	9	1.97	3	-1.97
観	12	5	0.65	7	0.65
野	12	12	4.89	0	-4.89
生き	12	8	1.43	4	-1.43
課題	12	11	3.61	1	-3.61
わから	12	9	1.97	3	-1.97
点	12	8	1.43	4	-1.43
本	12	6	0.77	6	-0.77
17	12	6	0.77	6	-0.77
抱く	12	4	-0.66	8	0.66
よい	12	5	0.65	7	0.65
わけ	12	2	-1.15	10	1.15
14	12	8	1.43	4	-1.43
37	12	5	0.65	7	0.65
時点	12	11	3.61	1	-3.61
働き	12	4	-0.66	8	0.66
もっと	12	5	0.65	7	0.65
起き	12	4	-0.66	8	0.66
応募	12	12	4.89	0	-4.89
８	12	3	-0.82	9	0.82
大	12	5	0.65	7	0.65
いう	12	3	-0.82	9	0.82
歳	12	8	1.43	4	-1.43
場	12	8	1.43	4	-1.43
違和感	12	1	-1.70	11	1.70
非	12	6	0.77	6	-0.77
項目	12	5	0.65	7	0.65
出典	12	6	0.77	6	-0.77
検索	12	6	0.77	6	-0.77
英語	12	6	0.77	6	-0.77
wmf	12	6	0.77	6	-0.77
E	12	6	0.77	6	-0.77
中学生	12	10	2.68	2	-2.68
生活	12	2	-1.15	10	1.15
重大	12	12	4.89	0	-4.89
約束	12	9	1.97	3	-1.97
君	12	2	-1.15	10	1.15
．	12	1	-1.70	11	1.70
井上	12	10	2.68	2	-2.68
思い切っ	12	12	4.89	0	-4.89
画材	12	12	4.89	0	-4.89
断	12	12	4.89	0	-4.89
捨離	12	12	4.89	0	-4.89
ゆめ	12	12	4.89	0	-4.89
差	12	5	0.65	7	0.65
設定	12	1	-1.70	11	1.70
aik	12	12	4.89	0	-4.89
2025122908	12	12	4.89	0	-4.89
実は	12	0	-2.59	12	2.59
mainichi	12	0	-2.59	12	2.59
kotoba	12	0	-2.59	12	2.59
要因	12	0	-2.59	12	2.59
ビジネス	12	0	-2.59	12	2.59
日銀	12	0	-2.59	12	2.59
働きかける	12	0	-2.59	12	2.59
平均	12	0	-2.59	12	2.59
他者	12	0	-2.59	12	2.59
行為	12	0	-2.59	12	2.59
みたい	11	4	0.62	7	0.62
もう	11	2	-1.02	9	1.02
言い	11	1	-1.52	10	1.52
ら	11	7	1.19	4	-1.19
今日	11	5	0.67	6	-0.67
登録	11	3	-0.73	8	0.73
みる	11	6	0.86	5	-0.86
件	11	2	-1.02	9	1.02
13	11	8	1.69	3	-1.69
７	11	6	0.86	5	-0.86
イベント	11	8	1.69	3	-1.69
なか	11	6	0.86	5	-0.86
プロジェクト	11	9	2.36	2	-2.36
愛知	11	11	4.48	0	-4.48
内	11	2	-1.02	9	1.02
部	11	10	3.25	1	-3.25
募集	11	11	4.48	0	-4.48
そこで	11	3	-0.73	8	0.73
トップ	11	6	0.86	5	-0.86
シェア	11	2	-1.02	9	1.02
s	11	11	4.48	0	-4.48
sharer	11	8	1.69	3	-1.69
責任	11	1	-1.52	10	1.52
不安	11	3	-0.73	8	0.73
軸	11	1	-1.52	10	1.52
