item	total	count part-1	specif part-1	count part-2	specif part-2
com	138	106	18.74	32	-18.74
3	134	94	12.57	40	-12.57
ん	126	34	-2.89	92	2.89
jp	126	83	9.09	43	-9.09
その	124	35	-2.52	89	2.52
相手	122	1	-24.48	121	24.48
たい	118	28	-3.82	90	3.82
2	114	61	3.21	53	-3.21
：	107	86	17.57	21	-17.57
？	106	33	-1.72	73	1.72
日	104	68	7.41	36	-7.41
なる	104	22	-4.38	82	4.38
もの	101	23	-3.70	78	3.70
へ	98	45	1.49	53	-1.49
まし	92	55	4.53	37	-4.53
php	91	53	4.00	38	-4.00
について	90	39	1.21	51	-1.21
ため	89	18	-4.18	71	4.18
心理	89	0	-19.23	89	19.23
5	86	53	4.89	33	-4.89
2025	83	71	17.53	12	-17.53
れる	83	14	-5.18	69	5.18
12	82	62	10.77	20	-10.77
ば	81	22	-2.12	59	2.12
なく	81	25	-1.55	56	1.55
感	79	7	-8.94	72	8.94
何	78	23	-1.70	55	1.70
6	78	60	10.99	18	-10.99
ね	77	18	-2.85	59	2.85
者	76	44	3.39	32	-3.39
性	76	36	1.50	40	-1.50
月	75	53	7.62	22	-7.62
として	75	21	-1.88	54	1.88
なり	75	13	-4.58	62	4.58
ませ	73	7	-7.89	66	7.89
より	72	22	-1.50	50	1.50
私	71	9	-6.18	62	6.18
関係	71	10	-5.58	61	5.58
それ	70	12	-4.38	58	4.38
4	70	44	4.48	26	-4.48
たち	65	24	-1.02	41	1.02
２	64	22	-1.12	42	1.12
これ	63	13	-3.07	50	3.07
】	63	45	6.80	18	-6.80
場合	62	15	-2.28	47	2.28
など	62	25	1.00	37	-1.00
方	61	21	-1.10	40	1.10
なっ	60	17	-1.62	43	1.62
title	60	26	1.08	34	-1.08
index	59	25	1.03	34	-1.03
仕事	59	29	1.51	30	-1.51
w	59	24	0.99	35	-0.99
可能	58	33	2.59	25	-2.59
学	58	14	-2.19	44	2.19
でしょ	57	6	-5.90	51	5.90
結果	57	5	-6.64	52	6.64
考え	56	16	-1.53	40	1.53
BUTTON	56	26	1.24	30	-1.24
感じ	55	19	-1.06	36	1.06
でき	55	16	-1.46	39	1.46
』	55	16	-1.46	39	1.46
大使	55	55	22.40	0	-22.40
どう	54	23	1.02	31	-1.02
さん	53	39	6.52	14	-6.52
持つ	53	7	-4.60	46	4.60
8	53	41	7.86	12	-7.86
！	52	33	3.65	19	-3.65
時	51	31	3.05	20	-3.05
思い	51	12	-2.10	39	2.10
【	51	38	6.60	13	-6.60
き	50	18	-0.98	32	0.98
状況	50	31	3.24	19	-3.24
られ	50	14	-1.50	36	1.50
値	50	4	-6.20	46	6.20
って	49	28	2.34	21	-2.34
言葉	49	11	-2.22	38	2.22
できる	48	18	-0.94	30	0.94
まで	47	14	-1.29	33	1.29
中	47	14	-1.29	33	1.29
だけ	47	15	-1.14	32	1.14
『	47	13	-1.48	34	1.48
認知	47	46	17.28	1	-17.28
症	47	47	19.14	0	-19.14
県	47	46	17.28	1	-17.28
e	47	45	15.73	2	-15.73
だろ	46	15	-1.09	31	1.09
記事	46	16	-0.99	30	0.99
別	46	44	15.34	2	-15.34
いく	45	20	1.04	25	-1.04
よ	45	19	0.96	26	-0.96
意味	44	12	-1.47	32	1.47
かも	44	11	-1.72	33	1.72
良い	44	5	-4.42	39	4.42
9	44	31	4.71	13	-4.71
また	43	13	-1.21	30	1.21
お	42	23	1.81	19	-1.81
“	42	39	12.47	3	-12.47
”	42	40	13.79	2	-13.79
なら	42	7	-2.98	35	2.98
万	42	16	0.90	26	0.90
心	42	5	-4.10	37	4.10
そう	41	10	-1.71	31	1.71
ご	40	17	0.94	23	-0.94
なかっ	40	15	-0.90	25	0.90
url	40	30	5.44	10	-5.44
特別	40	24	2.43	16	-2.43
2026	40	25	2.81	15	-2.81
人間	40	2	-6.13	38	6.13
円	39	10	-1.53	29	1.53
み	39	13	-0.99	26	0.99
いい	38	15	0.88	23	0.88
7	38	24	2.81	14	-2.81
０	38	9	-1.71	29	1.71
失望	38	5	-3.46	33	3.46
気持ち	38	4	-4.10	34	4.10
％	37	13	-0.92	24	0.92
0	37	28	5.25	9	-5.25
25	36	26	4.34	10	-4.34
品	36	36	14.66	0	-14.66
しまう	36	0	-7.78	36	7.78
関連	35	16	1.01	19	-1.01
大切	35	11	-1.04	24	1.04
行動	35	9	-1.43	26	1.43
１	35	15	0.91	20	-0.91
自己	35	7	-2.07	28	2.07
ず	34	9	-1.34	25	1.34
あっ	34	13	0.86	21	0.86
誰	34	4	-3.44	30	3.44
協力	34	30	8.41	4	-8.41
自身	34	8	-1.61	26	1.61
進学	34	34	13.85	0	-13.85
成長	34	0	-7.34	34	7.34
子ども	33	18	1.55	15	-1.55
られる	33	5	-2.71	28	2.71
でも	33	14	0.89	19	-0.89
学校	33	29	8.06	4	-8.06
思っ	33	10	-1.07	23	1.07
とき	33	14	0.89	19	-0.89
人生	33	7	-1.83	26	1.83
影響	33	5	-2.71	28	2.71
日本	33	15	0.98	18	-0.98
26	33	17	1.31	16	-1.31
29	33	21	2.59	12	-2.59
に対して	33	2	-4.79	31	4.79
ので	32	4	-3.12	28	3.12
ください	32	19	2.00	13	-2.00
にとって	32	9	-1.18	23	1.18
未来	32	18	1.68	14	-1.68
note	32	16	1.19	16	-1.19
活動	32	29	8.76	3	-8.76
でし	32	15	1.02	17	-1.02
に対する	32	1	-5.60	31	5.60
～	31	13	0.86	18	-0.86
よく	31	6	-1.97	25	1.97
あなた	31	15	1.08	16	-1.08
たり	31	9	-1.11	22	1.11
支援	31	29	9.57	2	-9.57
重要	31	3	-3.61	28	3.61
sankei	31	31	12.62	0	-12.62
投資	31	0	-6.69	31	6.69
たら	30	5	-2.28	25	2.28
しれ	30	6	-1.85	24	1.85
必要	30	9	-1.04	21	1.04
政策	30	1	-5.19	29	5.19
せ	29	5	-2.14	24	2.14
ニュース	29	23	4.98	6	-4.98
上	29	9	-0.98	20	0.98
社会	29	12	0.84	17	-0.84
一	29	18	2.16	11	-2.16
article	29	25	6.67	4	-6.67
多く	29	12	0.84	17	-0.84
action	29	10	-0.87	19	0.87
公立	29	29	11.81	0	-11.81
効果	29	2	-4.04	27	4.04
自立	29	5	-2.14	24	2.14
しかし	28	6	-1.62	22	1.62
地域	28	27	9.76	1	-9.76
予想	28	1	-4.79	27	4.79
他人	28	1	-4.79	27	4.79
グループ	28	26	8.44	2	-8.44
べき	27	11	0.82	16	-0.82
実現	27	7	-1.22	20	1.22
ほど	27	6	-1.50	21	1.50
500	27	4	-2.35	23	2.35
text	27	21	4.37	6	-4.37
share	27	21	4.37	6	-4.37
一つ	27	7	-1.22	20	1.22
患者	27	27	10.99	0	-10.99
要求	27	0	-5.83	27	5.83
20	26	12	0.92	14	-0.92
そんな	26	13	1.08	13	-1.08
例	26	7	-1.13	19	1.13
持っ	26	9	-0.84	17	0.84
30	26	12	0.92	14	-0.92
市	26	24	7.69	2	-7.69
高	26	5	-1.75	21	1.75
制	26	26	10.59	0	-10.59
]「	25	3	-2.61	22	2.61
ながら	25	15	1.75	10	-1.75
見	25	7	-1.05	18	1.05
状態	25	11	0.85	14	-0.85
ページ	25	17	2.61	8	-2.61
ここ	25	3	-2.61	22	2.61
退職	25	23	7.32	2	-7.32
一方	25	4	-2.06	21	2.06
新しい	25	19	3.78	6	-3.78
facebook	25	17	2.61	8	-2.61
articles	25	12	0.97	13	-0.97
における	25	10	0.79	15	0.79
高校	25	25	10.18	0	-10.18
くれ	24	5	-1.51	19	1.51
言う	24	6	-1.20	18	1.20
考える	24	8	-0.84	16	0.84
co	24	21	5.89	3	-5.89
そして	24	10	0.80	14	-0.80
版	24	12	1.04	12	-1.04
説明	24	4	-1.92	20	1.92
多い	24	4	-1.92	20	1.92
b	24	20	4.98	4	-4.98
高い	24	3	-2.45	21	2.45
株	24	0	-5.18	24	5.18
回	23	17	3.21	6	-3.21
今回	23	6	-1.11	17	1.11
いき	23	7	-0.91	16	0.91
どこ	23	7	-0.91	16	0.91
目標	23	5	-1.39	18	1.39
11	23	12	1.13	11	-1.13
net	23	9	0.77	14	0.77
P	23	2	-2.95	21	2.95
感情	23	1	-3.80	22	3.80
倍	23	22	7.81	1	-7.81
進路	23	23	9.36	0	-9.36
課程	23	23	9.36	0	-9.36
負担	23	18	3.88	5	-3.88
裏切ら	23	0	-4.97	23	4.97
後	22	13	1.54	9	-1.54
意識	22	4	-1.65	18	1.65
あれ	22	4	-1.65	18	1.65
だっ	22	6	-1.02	16	1.02
目	22	13	1.54	9	-1.54
10	22	12	1.23	10	-1.23
解説	22	6	-1.02	16	1.02
以上	22	5	-1.28	17	1.28
imai	22	22	8.96	0	-8.96
27	22	10	0.85	12	-0.85
47	22	22	8.96	0	-8.96
与える	22	2	-2.77	20	2.77
表現	22	4	-1.65	18	1.65
ストレス	22	0	-4.75	22	4.75
僕	21	8	0.75	13	0.75
やっ	21	6	-0.95	15	0.95
ましょ	21	4	-1.52	17	1.52
先	21	9	0.79	12	-0.79
31	21	10	0.90	11	-0.90
紹介	21	6	-0.95	15	0.95
本人	21	19	5.84	2	-5.84
周囲	21	1	-3.40	20	3.40
数	21	16	3.28	5	-3.28
intent	21	18	4.85	3	-4.85
教育	21	17	4.01	4	-4.01
違い	21	2	-2.59	19	2.59
edit	21	5	-1.18	16	1.18
くれる	21	1	-3.40	20	3.40
経験	21	4	-1.52	17	1.52
長期	21	14	2.14	7	-2.14
